name,date,venue,price,time,url,description,tags,status,notes
Théâtre des Vampires,Sat 10/18,Elysium,$28,9:30pm-2am,,"Vampire ball w/live music, DJs spinning vampiric tunes, burlesque performers, vendors, + costume contest",,,
The Twilight Saga Drag Tribute,Sat 10/18,Cheer Up Charlie's,$10,10:30pm,,Drag performers pick a Twilight character to evoke for a night of werewolves + shiny vampires,,,
Girls Rock Austin Trunk-or-Treat Showcase,Sun 10/19,The Far Out Lounge,$10,12-4pm,,"Seasonally appropriate live music, tarot, costumes, crafting, orgs, + ""typewriter rodeo""",,,
Día de los Muertos Market,Sun 10/19,Gabriela's South,free,12-4pm,,Check out vendors inspired by Día de los Muertos + oftrenda,,,
Handmade Costume Yard Sale,Sun 10/19,Coco Coquette,free,12-5pm,,Buy a handmade costume from a costume vendor instead of going to Spirit Halloween,,,
Howloweek Spooktacular,Sun 10/19,High Noon,,4-7pm,,"Costume contest, giveaways, + ""all the bulldog cuddles you could want""",,,
Subculture Swap,Sun 10/19,Double Trouble,,7-11pm,,"Watch a high school horror movie, paint pumpkins, + check out vendors and art",,,
Vampire Hunter D: Bloodlust,Mon 10/20,We Luv Video,$5,7pm,,Watch the second bloody anime about a vampire hunter with a sidekick who is just a talking mouth in his actual hand,,,
Ivanna's House of Horrors,Mon 10/20,The Vortex,,9pm,,"Spooky drag performances w/costume contest, ""screaming guaranteed""",,,
Hocus Pocus Watch Party,Wed 10/22,St. Elmo Brewery,free,7pm,,Outdoor screening of the witchy classic spooky season standby film,,,
Welcome to Night Vale: Murder Night in Blood Forest,Wed 10/22,The Paramount,$25+,8pm,,Live recording of popular horror / mystery-themed podcast,,,
Blood in the Dark,Thu 10/23,Sekrit Theatre,$5,7pm,,"Secret tba 80s vampire flick played in a ""secret"" outdoor space that only occasionally hosts public events these days",,,
UNDEAD Haunted House of Dances,Thu 10/23,East Side Performing Arts,$35+,7pm,,"""Immersive, adults-only Halloween show"" featuring theater + dance performers",,,
,Fri 10/24,,,,,,,,
,Sat 10/25,,,6pm and 8pm,,,,,
,Wed 10/29,,,7pm,,,,,
,Thu 10/30,,,,,,,,
,Fri 10/31,,,6pm and 8pm,,,,,
Nerd Nite: A Bloody Great Halloween Show,Thu 10/23,Barrel O' Fun,,7:30,,Hear nerdy high-caliber talks on a variety of spooky topics,,,
The Last Séance of Harry Houdini,Thu 10/23,Flower Hill Center,$25,8pm,,"""Conjure the spirit of Harry Houdini"" in an immersive theatrical séance",,,
,Fri 10/24,,,,,,,,
,Sat 10/25,,,,,,,,
,Sun 10/26,,,,,,,,
,Wed 10/29,,none,,,,,,
,Thu 10/30,,$25,,,,,,
The Nightmare Before Christmas,Fri 10/24,Community First! Village,free,6:30pm,,Watch a classic Halloween flick + support homes for people experiencing homelessness,,,
All Souls Cabaret,Fri 10/24,Austin Playhouse,$35,7:30pm,,"Five cabaret singers performing ""songs of murder, mayhem, + malevolence""",,,
,Sat 10/25,,,,,,,,
,Sun 10/26,,,6pm,,,,,
Sinners Dinner + Drag Night,Fri 10/24,near North Loop,$10,8pm,,"Costume contest, drag performers, tattoos, + vendors w/ ""vampy attire encouraged""",,,
Glaze Zine Classic Whorror: Villain Era,Fri 10/24,Cheer Up Charlie's,$8,9pm,,"""Darkly glamorous collision of live music, burlesque, + DJ sets""",,,
Ozzy Halloween Party,Fri 10/24,Vinyl Beauty Bar,$20,9pm,,"Live band covering Ozzy Osbourne & Black Sabbath tunes, DJ, + haunted house. Just stay away from bats please",,,
Pet-tober Fest,Sat 10/25,The Domain,free,10am-4pm,,"Live music, DJ, demos, vendors, pet rescues, pet costume contest + ""poodle parade""",,,
Día de los Muertos Afternoon Tea,Sat 10/25,Tiny Minotaur,$70,12-3pm,,"Ofrenda, plus high tea food + libations w/communal seating",,,
Pumpkin Carver,Sat 10/25,The Carver Museum,free,12-3pm,,"Carve pumpkins at the Carver museum w/family activities, live goats, goodie bags, + costume contest",,,
Howl-o-ween,Sat 10/25,Lefty's Brick Bar,free,3-5pm,,Come to Halloween-decorated bar with your furry friend to compete in their pet costume contest,,,
,Sun 10/26,Yard Bar,,1pm,,"Dog costume contest, vendors, + silent auction",,,
Night of the Living Artist,Sat 10/25,Tin Whistle Gallery,free,5:30-10pm,,"Bands, vinyl DJs, + Halloween inspired art show",,,
Mercado Sábados,Sat 10/25,Mercado Sin Nombre,free,5-9pm,,Vendors inspired by Día de Los Muertos,,,
Zenith Markets Halloween Party,Sat 10/25,Tillery Plant Co.,free,6-10pm,,"DJ, tattoos, vendors, free drinks, + interactive experiences",,,
The Austin Séance,Sat 10/25,Nocturna,$35,6pm and 8pm,,Take part in a Victorian-style séance + learn about their history,,,
,Thu 10/30,The Vortex,,7:30pm,,,,,
,Fri 10/31,,,7:30 + 9:30pm,,,,,
,Sat 11/1,,,7:30 and 9:30pm,,,,,
,Sun 11/2,,,7:30pm,,,,,
Fangoria Horror Trivia + Screening,Sat 10/25,We Luv Video,$10,7pm,,"Fangoria-curated film screening, costume contest, + trivia",,,
Bat City Bombshells: Tits-or-Treats Burlesque,Sat 10/25,Come and Take It Live,$28,7pm,,"Traditional burlesque performers inspired by ""ghouls, glamour, + a touch of gore""",,,
Dragonwolf Art Explosion Halloween,Sat 10/25,4211 Todd Ln.,$59,7pm-2am,,"""Big dance floor,"" DJs, vendor, circus performers, immersive experiences, + art installations",,,
The Clash of the Titans,Sat 10/25,Pan-Am Park,free,7:30pm,,"Bat-friendly costumed Halloween parade complete with brass band, costume contest, + afterparty",,,
The Eternal Affair,Sat 10/25,south Austin,sold out,8pm-1am,,"Multiple category costume contest, immersive murder mystery, + DJs",,,
The Rocky Horror Picture Show,Sat 10/25,Little Drinks Lounge,,9-11pm,,Costume-clad Rocky Horror screening + singalong,,,
Femme Fatale,Sat 10/25,Cheer Up Charlie's,,9pm,,"""Femme lesbian horror realness"" w/Halloween-inspired acts + blood wrestling",,,
Electronic Voice Phenomenon Lab Workshop,Sun 10/26,Nocturna,$20,11am,,Learn all about + experiment with electronic recordings of mysterious (ie potentially spooky) voices around us,,,
StrawFest,Sun 10/26,Umlauf,free,11am-4pm,,"Family-friendly games, crafts, costume parade, pumpkin decorating, face painting, ""straw pit,"" + ""spider web maze""",,,
Drag Me to the Candy,Sun 10/26,Ani's Day and Night,free,12-10pm,,"""Haunted drag show,"" vendors dressed in costumes, candy giveaways, human + pet costume contests, + trick or treating",,,
All Hallow's Eve,Sun 10/26,Commodore Perry,$65,4-7pm,,"Wander an ornate estate festooned in spooky gourds + candy cauldrons, w/live music, palm readers, face painting",,,
The Living Dead Girl,Sun 10/26,We Luv Video,$5,6pm,,"Watch a film about ""lesbian vampires that are kinda also zombies and French and sad""",,,
Queer & Trans Trunk or Treat,Sun 10/26,Ani's Day and Night,free,6:30-9pm,,"""Make your trunk a serve"" for best decorated contest, plus vendor market",,,
Marionette Mayhem,Mon 10/27,The Vortex,$15+,6pm,,Get creepy with some puppets from local + touring puppeteers,,,
Scary Stories,Mon 10/27,Meanwhile Brewing,free,6-8pm,,Storytelling night focused on scary stories that go bump in the night,,,
Swalloween,Tue 10/28,Barbarella,,10pm,,"""Costume mandatory"" edition of Barbarella's Tuesgayz party",,,
The Crystal Awakening,Wed 10/29,Mesmerize,$16,varies,,"A spooky immersive experience involving crystals, dreams, + pulsing lights",,,
,Thu 10/30,,,,,,,,
,Fri 10/31,,$20,,,,,,
,Sat 11/1,,,,,,,,
,Sun 11/2,,,,,,,,
Dog Pawrty + Costume Contest,Wed 10/29,Meanwhile Brewing,,6-10pm,,"Dress up your pooch for fun + prizes, plus dog-themed vendors, Frankenweenie screening, + tarot for dogs",,,
The Rocky Horror Drag Show,Wed 10/29,Hotel Vegas,$16,6:30 + 9:30pm,,Watch the Rocky Horror Picture Show w/a shadow cast of drag performers,,,
Halloween,Wed 10/29,The Paramount,$12,7pm,,Beloved Austin filmmaker Robert Rodriguez presents the classic slasher film that made Jamie Lee Curtis a household name,,,
The Crimson Cabaret,Wed 10/29,Speakeasy,$18,7pm,,"""An evening of vampiric burlesque + gothic glamor""",,,
The Boyz of Austin Annual Halloween Spooktacular,Wed 10/29,Elysium,$9,10:30pm,,"""Drag King + gender diverse"" burlesque performers inspired by Halloween spookiness",,,
Ofrenda Workshop,Thu 10/30,Zilker Botanic Garden,$30,4pm,,Learn about the Día de los Muertos tradition of ofrendas + how to make your own,,,
Día de los Muertos,Thu 10/30,The Cathedral,$31,6:30-10pm,,"Día de los Muertos-inspired decorations, live music, ofrenda, raffles, + poetry",,,
,Sat 11/1,Pan Am Park,free,2-6pm,,"Alcohol-free, family friendly Día de los Muertos party w/Ofrenda, vendors, art installations, + live music",,,
,Sat 11/1,Moody Amphitheater,,6pm,,"Ofrendas, live music, DJs, live dance perrformances, ""family friendly art + cultural activities"" and vendor market",,,
,Sun 11/2,allgo,,4-7pm,,"""Queer ancestor"" ofrenda, performers, + ""pan de muerto""",,,
,Sun 11/2,Moody Amphitheater,,6pm,,"Ofrendas, live music, DJs, live dance perrformances, ""family friendly art + cultural activities"" and vendor market",,,
OUTsider's Monster Bash,Thu 10/30,The Museum of Human Achievement,$33,7-10pm,,"Drag performers, monsters, + singers ""celebrating our queer + monstrous selves"" plus costume contest",,,
The VVITCH,Thu 10/30,Jester King,$22,7pm,,"""Join our herd of 74 goats for a dark and spooky night"" + watch a recent goat-themed horror flick",,,
Are You Afraid of the Dark? Pole + Aerial Variety Show,Thu 10/30,Swan Dive,$41,7pm,,Sinister pole + aerial performances inspired by spooky season,,,
Horrorween,Thu 10/30,Vigilante Gastropub + Games,,7pm,,Horror-themed nerdlesque performances,,,
A Killer Affair,Thu 10/30,Kenny Dorham's Backyard,,7pm,,"Dexter-themed party w/pole performers, games, + costume contest",,,
Soul / Alma,Thu 10/30,The Long Center,$7,7:15pm,,"Poetry readings borrow from the spooky season traditions of Ireland, Mexico, + Texas",,,
Malum Malus Burlesque: Samhain,Thu 10/30,The Vortex,$15,8pm,,"Samhain-themed ""occult-based burlesque performance art""",,,
,Fri 10/31,,,,,,,,
,Sat 11/1,,,,,,,,
Mu! Ha! Ha! Storytime!,Thu 10/30,Radio Coffee + Beer,free,,,"""A spooky storytelling game show hosted by Sonic the Hedgehog""",,,
Banned Bodies Zombie Prom,Thu 10/30,13th Floor,$10,9pm,,,,,
The Best Little Whorror House in Texas,Thu 10/30,Elysium,$10,10pm-2am,,,,,
Halloween Freakend,Fri 10/31,Far Out Lounge,$81+,5:00 PM,,Killer lineup of local + out of town bands booked by the Levitation folks,,,
,Sat 11/1,,$49+,,,,,,
Trick or Treat on the Trail,Fri 10/31,Healing with Horses Ranch,,5-7pm,,Meet some friendly horses in costumes while you trick-or-treat + check out vendors,,,
St. HELLmo,Fri 10/31,St. Elmo Brewing Co.,free,5-11pm,,"DJs, costume contest, horror movie screenings, + bloody themed cocktails and Jell-O shots",,,
The Night Owl Spirit Social,Fri 10/31,29th St. Ballroom,$50+,5pm-12am,,,,,
Ghisallo Cycling Trick or Treat on the Trail,Fri 10/31,Boggy Creek Greenbelt,free,6-8pm,,"Trick or treat in the park for a safe, car-free environment, + ""monster mash blacklight dance party""",,,
Haunted Hotel,Fri 10/31,Hotel Vegas,$16,6pm-2am,,"Live bands, costume contest, + costumed karaoke",,,
Yeehawloween,Fri 10/31,The Carpenter Hotel,free,7-10pm,,"DJ spinning country tunes, drag, two-stepping, + ""partner costume contest""",,,
Early w/ DJ Mel,Fri 10/31,3Ten at ACL Live,$15,7-11pm,,DJ Mel's early night dance party but this time it's got costumes + pizza,,,
Halloween Block Party,Fri 10/31,301 Chicon,,7:30-11pm,,"""One night, one building, multiple costume contests!"" w/films, tattoos, tarot, + ""bite of a surprise""",,,
Hallowed Graves,Fri 10/31,Sterling Stage Austin,,8pm,,"Burlesque performers dig up some great ideas for ""a boneyard burlesque extravaganza"" that goes heavy on the graves",,,
Wish You Were the Moon,Fri 10/31,Regal Rooms,$25,8pm,,"""Haunted halloween performance of Dark Side of the Moon"" w/costume contest + DJ",,,
Ghost Almanac,Fri 10/31,Millennium Youth Entertainment Complex,$20,8pm,,"Vintage silent horror films re-soundtracked by live synthesizer enthusiasts, ""demon dancers"" + ""unholy drummers""",,,
Halloween Party feat. Tear Dungeon,Fri 10/31,The 13th Floor,$25,8pm-2am,,"Live bands who like costumes, vinyl DJ, + cash prize costume contest",,,
Night of the Living Legends,Fri 10/31,Haus of Talents,$23,8pm,,"Celebrity lookalike-themed costume party w/costume karaoke, contest, + 80s/90s hip hop tunes",,,
Wonderland Burlesque Halloween Bash,Fri 10/31,Coldtowne,$49,8pm,,"Halloween-themed burlesque, comedy, karaoke, vendors, costume party, + DJ after party",,,
Halloween Critical Mass,Fri 10/31,Parque Zaragoza,free,8pm,,Convivial convoy of wheeled vehicles of all sorts gets spooky w/costume contest + other prize laden games,,,
Claudio Simonetti's Goblin + Deep Red,Fri 10/31,The Paramount,$30+,8:00 PM,,Italian prog horror soundtrack masters perform the soundtrack of giallo classic Deep Red live with the film,,,
Surrealist Samhain,Fri 10/31,Propaganda HQ,$40,8pm-5am,,Surrealism-themed late night dance party w/lots of DJs,,,
The Unbuzzed Club Halloween Party,Fri 10/31,Sans Bar,$20,8pm-12am,,"Have a ""sober + spooky"" Halloween w/DJ, photo booth, tarot, + costume contest",,,
Rhythm + Boo'z,Fri 10/31,Millennium Youth Entertainment Complex,$10,9pm-1am,,Wear your Halloween costume for adult skating w/lots of killer vinyl DJs,,,
Darkwave Disko,Fri 10/31,Elysium,$13,9pm-2am,,Austin's lovers of all things modern darkwave get especially spooky for Halloween tidings,,,
Whiplash ATX,Fri 10/31,Chess Club,$17,9pm-2am,,"Live darkwave bands, drag horror + pole performances, plus particularly spooky DJs",,,
Vampire Ranch,Fri 10/31,Justine's,,10:30 PM,,,,,
Blade Rave,Fri 10/31,High Noon,,,,"Re-enact one of the bloodiest dance parties in film history w/DJs spinning techno, costume contest, lasers n fog machines",,,
Viva la Vida,Sat 11/1,4th St. + Congress Ave.,free,12-6pm,,"Celebrate Día de los Muertos with parade, street fest, ofrenda, vendors, traditional food + dance",,,
Muertos Days,Sat 11/1,Cenote,$10,6pm,,"""Art, music, + community"" honoring Día de los Muertos w/crafts + open mic spoken word",,,
,Sun 11/2,,$30,,,"""Art, music, + community"" honoring Día de los Muertos w/candle-making, Lotería, + live music",,,
"That's Hot, Horatio",Sat 11/1,Tiger Den,$36+,8pm-12am,,"Campy ""Medieval Y2k Halloween party"" w/costume contest, tarot, crafts, touchable art, ""Medieval insults battle""",,,
Daft Disko,Sat 11/1,Empire,$22,9pm,,"Get tres spooky w/DJs spinning French house, disco, + other francophilic jams",,,
Butch Prom: The Monster Ball,Sat 11/1,Cheer Up Charlie's,$11,9pm,,"""High-camp queer Halloween party"" w/drag kings, DJs, karaoke, costume contest, + arm wrestling",,,
Grave Rave,Sat 11/1,?,?,?,,"Raves are usually in abandoned warehouses, but they are not usually haunted by the spirits of the dead",,,
Outer Heaven Halloween Part II,Sat 11/1,Factory on 5th,$40,10pm,,,,,
